1,"Hults bruk",
2,"Gränsfors bruk",
3,"S. A. Wetterling",
4,"Billnäs bruk",
5,"Mariefors bruk","Kellokoski"
6,"August Hedvall","AH"
7,"Urafors yxfabrik",
8,"Per Stålberg",
9,"Säters yxfabrik",
10,"Johan Jonsson","Hjärtum"
11,"Johan Skog","Hjärtum"
12,"Willy Persson","Hjärtum"
13,"Mustad",
14,"Kölefors bruk",
15,"Kalthoff Axes","Julia Kalthoff"
16,"Wira bruk",
17,"Per Nordlöw","P NL"
18,"Allan Nordlöw","Hästsko"
19,"Hjalmar Nordlöw","HN"
20,"Hans Karlsson",
21,"Svenska yxfabriken, Kristinehamn",
22,"Erik Persson","EP"
23,"Okänd",
24,"Keech",
25,"Svante Djärv",
26,"Ferro Forserum",
27,"Tuatahi",
28,"Arvika yxfabrik",
29,"Lars Nordlöw","LN"
30,"Artur & Ivar Nordlöw","ANW"
31,"Wild Fields Forge","Ukraina"
32,"True Temper",
33,"Kelly Works",
34,"Downing & Co",
35,"Jäders bruk","Kronyxa"
36,"Lien Smie","Pål Lien"
37,"Svenska Yxfabriken AB, Kristinehamn",
38,"Edsbyn Industri Aktiebolag","EIA"
39,"Lars Östberg","Delsbo"
40,"Wirå bruk",
41,"Nordlöw","Nordlöw i båge"
42,"Paul Alford / Gränsfors","Kursivt P"
43,"Lars Enander / Gränsfors","LE i cirkel"
44,"Lennart Pettersson / Gränsfors","LP"
45,"Bofors",
46,"Boja","Gålsjö bruk"
47,"Browalls Yx- & Smidesfabrik AB","Storvik"
48,"Töresmeden",
49,"K J Begrström","Söderbärke"
